Numbers
0.0
1.0
2.0
2.5
3.0
3.5
4.0
5.0
6.0
7.0
7.5
8.0
9.0
10.0
11.0
12.0
12.5
15.0
17.0
17.5
18.0
20.0
21.5
22.5
23.0
25.0
30.0
35.0
40.0
45.0
50.0
55.0
60.0
65.0
70.0
75.0
80.0
85.0
90.0
